;Wiley Post-Will Rogers Mem;Deadhorse;Ralph Wien Memorial;Fairbanks Intl;Nome;St Mary's;Aniak;Anchorage Intl;Tuluksak;Akiachak;Akiak;Kwethluk;Bethel;Napaskiak;Napakiak;Merle K (Mudhole) Smith;Tuntutuliak;Eek;Kongiganak;Kwigillingok;Quinhagak;Yakutat;Dillingham;King Salmon;Gustavus;Juneau Intl;Kodiak;St Paul Island;Sitka;Port Heiden;James A Johnson Petersburg;Wrangell;Ketchikan Intl;Sand Point;Cold Bay;Unalaska;Eareckson As;Adak Naf;Bellingham Intl;Glacier Park Intl;Minot Intl;William R Fairchild Intl;Grand Forks Afb;Grand Forks Intl;Spokane Intl;Great Falls Intl;Seattle-Tacoma Intl;Pangborn Memorial;Grant County;Missoula Intll;Hector Intll;Duluth Intl;Bismarck Muni;Pullman/Moscow Regional;Helena Regional;Yakima Air Terminal;Marquette County;Lewiston-Nez Perce County;Tri-Cities;Walla Walla Regional;Bert Mooney;Billings Logan Intl;Gallatin Field;Eastern Oregon Regional At Pen;Portland Intl;Mcnary Fld;Minneapolis-St Paul Intl/Wold-;Bangor Intl;Central Wisconsin;Cherry Capital;Austin Straubel Intll;Burlington Intl;Outagamie County;Roberts Field;Mahlon Sweet Field;Rapid City Regional;Wittman Regional;Rochester Intll;La Crosse Muni;Portland Intl Jetport;Jackson Hole;Joe Foss Field;Boise Air Terminal /Gowen Fld/;Mbs Intll;Fanning Field;Friedman Memorial;North Bend Muni;Muskegon County;Oneida County;Dane County Regional-Truax Fie;Greater Rochester Intl;Syracuse Hancock Intl;Bishop Intll;General Mitchell Intll;Greater Buffalo Intl;Manchester;Pocatello Regional;Natrona County Intl;Kent County Intl;Capital City;Albany County;Waterloo Muni;Tompkins County;Twin Falls-Sun Valley Regional;Detroit City;Sioux Gateway;Dubuque Regional;Rogue Valley Intl- M;General Edward Lawrence Logan;Worcester Muni;Kalamazoo/Battle Creek Interna;Detroit Metropolitan Wayne Cou;Binghamton Regional/Edwin A Li;Greater Rockford;Elmira/Corning Regional;Klamath Falls Intll;Erie Intl;Chicago O'hare Intl;Bradley Intl;Cedar Rapids Muni;William B. Heilig Field;Merrill C Meigs;Chicago Midway;Jack Mc Namara Field;Theodore Francis Green State;Michiana Rgnl Transportation C;Toledo Express;Des Moines Intl;Stewart Int'l;Quad-City;Cleveland-Hopkins Intl;Wilkes-Barre/Scranton Intl;Eppley Airfield;Tweed-New Haven;Youngstown-Warren Regional;Westchester County;Fort Wayne Intll;Arcata;Akron-Canton Regional;Lincoln Muni;University Park;Elko Muni-J.C. Harris Field;Long Island Mac Arthur;Salt Lake City Intl;Burlington Regional;La Guardia;Newark Intl;Greater Peoria Regional;Lehigh Valley Intll;John F Kennedy Intl;Redding Muni;Pittsburgh Intll;Yampa Valley;Bloomington/Normal;Purdue University;Mercer County;Harrisburg Intll;University Of Illinois-Willard;Port Columbus Intl;Quincy Muni Baldwin Field;James M Cox Dayton Intl;Philadelphia Intl;Capital;Decatur;Chico Muni;Stapleton Intl;Indianapolis Intl;Eagle County Regional;Reno/Tahoe Intll;Atlantic City Intll;Hulman Regional;Kansas City Intl;Aspen-Pitkin Co/Sardy Field;Baltimore-Washington Intl;Walker Field;Cincinnati/Northern Kentucky I;Washington Dulles Intl;Lake Tahoe;Washington National;Columbia Regional;City Of Colorado Springs Muni;Lambert-St Louis Intl;Sacramento Metropolitan;Gunnison County;Sonoma County;Yeager;Tri-State/Milton J.Ferguson Fi;Pueblo Memorial;Louisville Intl;Charlottesville-Albemarle;Evansville Regional;Blue Grass;Stockton Metropolitan;Greenbrier Valley;Williamson County Regional;Forney Aaf;Metropolitan Oakland Intl;Wichita Mid-Continent;Modesto City-County--Harry Sha;Mammoth Lakes;San Francisco Intl;Richmond Intll;San Jose Intll;Roanoke Regional/Woodrum Field;Merced Municipal/Macready Fiel;Springfield Regional;Cape Girardeau Regional;Durango-La Plata County;Joplin Regional;Newport News/Williamsburg Inte;Barkley Regional;Norfolk Intl;Fresno Air Terminal;Monterey Peninsula;Tri-Cities Regional Tn/Va;Tulsa Intl;Nashville Intll;Piedmont Triad Intll;Mc Carran Intl;Drake Field;Raleigh-Durham Intll;Mc Ghee Tyson;Asheville Regional;Meadows Field;Will Rogers World;Fort Smith Regional;Kinston Regional Jetport At St;San Luis Obispo County-Mc Ches;Amarillo Intl;Charlotte/Douglas Intl;Flagstaff Pulliam;Memphis Intl;Albuquerque Intl;Lovell Field;Fayetteville Regional/Grannis;Santa Maria Pub/Capt G Allan H;Greenville-Spartanburg;Albert J Ellis;Adams Field;Huntsville Intl-Carl T Jones F;Lawton Muni;Santa Barbara Muni;New Hanover Intll;Oxnard;Burbank-Glendale-Pasadena;Ontario Intl;Sheppard Afb/Wichita Falls Mun;Los Angeles Intl;Columbia Metropolitan;Palm Springs Regional;Long Beach /Daugherty Field/;Myrtle Beach Intl;John Wayne Airport-Orange Coun;Lubbock Intl;The William B Hartsfield Atlan;Birmingham Intl;Texarkana Regional-Webb Field;Phoenix Sky Harbor Intl;Bush Field;Charleston Afb/Intl;Dallas/Fort Worth Intl;Dallas Love Field;San Diego Intl-Lindbergh Fld;Yuma Mcas/Yuma Intl;Columbus Metropolitan;Monroe Regional;Shreveport Regional;Abilene Regional;Gregg County;Tyler Pounds Field;Jackson Intll;Dannelly Field;Savannah Intll;Tucson Intl;Midland Intll;El Paso Intl;Waco Regional;Alexandria Esler Regional;Mathis Field;Killeen Muni;Mobile Regional;Easterwood Field;Baton Rouge Metropolitan, Ryan;Jacksonville Intl;Eglin Afb;Pensacola Regional;Tallahassee Regional;Robert Mueller Muni;Panama City-Bay Co Intl;Lafayette Regional;Lake Charles Regional;New Orleans Intl/Moisant Fld/;Houston Intercontinental;Jefferson County;Gainesville Regional;William P Hobby;San Antonio Intl;Daytona Beach Intl;Orlando Intl;Melbourne Intll;Tampa Intl;St Petersburg/Clearwater Intl;Corpus Christi Intl;Laredo Intl;Sarasota/Bradenton Intl;Palm Beach Intl;Southwest Florida Intl;Rio Grande Valley Intl;Mc Allen Miller Intl;Fort Lauderdale/Hollywood Intl;Miami Intl;Lihue;Honolulu Intl;Molokai;Kapalua;Kahului;Lanai;Keahole-Kona Intll;Hilo Intll;Rafael Hernandez;Luis Munoz Marin Intl;Cyril E King;Eugenio Maria De Hostos;Mercedita;Alexander Hamilton;Johnston Atoll;Saipan Intl;Rota Intl;Guam Intll;Babelthuap/Koror;Pago Pago Intl;West Tinian
Eastern Oregon Regional At Pen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Portland Intl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0068;0.1498;0;0;0;0;0;0;0.0147;0.0143;0;0;0;0;0;0;0;0.0378;0;0;0;0.0223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0307;0;0;0;0.2025;0;0;0;0.0331;0;0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0572;0;0.0709;0;0;0;0;0;0;0.0485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1059;0;0;0.06;0;0;0;0;0;0;0.2031;0;0;0;0;0;0;0.066;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0752;0;0;0;0.0761;0;0.0787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1109;0.1131;0;0.1133;0;0;0;0;0.1163;0;0.2254;0;0;0.128;0;0;0.1779;0;0.1259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mcnary Fld;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minneapolis-St Paul Intl/Wold-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0262;0;0;0;0;0.0508;0;0.01;0.0138;0;0;0.0219;0;0;0;0;0;0;0;0.0258;0;0;0;0.0327;0.076;0;0;0;0.0435;0;0;0;0;0;0;0;0;0;0.1156;0;0.0465;0.0563;0;0;0;0;0;0.0388;0.1082;0.0297;0;0;0.0406;0;0;0;0;0.0321;0;0;0.0667;0;0.0368;0;0;0.1058;0;0;0;0;0;0;0;0.1033;0;0.1061;0.105;0;0;0.1069;0;0.0783;0.0829;0;0;0;0;0;0.0703;0;0.0661;0.1033;0;0;0;0.077;0.0607;0;0;0;0;0.054;0;0.1004;0;0.0708;0.0983;0;0.1005;0;0;0.0604;0.1562;0;0;0;0;0;0.0745;0;0;0;0;0;0;0;0.1629;0;0;0;0.1639;0;0.163;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0;0.1399;0;0;0;0;0;0;0;0;0;0;0.1115;0;0.0954;0.1163;0;0;0;0;0;0;0;0;0;0;0;0;0.1617;0;0.1655;0;0;0;0;0.1651;0;0.1163;0;0;0.1454;0;0;0.1162;0;0.1685;0;0;0;0;0;0;0;0;0;0;0.1518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1431;0.1428;0;0;0.146;0;0;0.1685;0;0.1705;0;0;0;0;0;0.1847;0;0;0.1917;0.1939;0;0.3992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangor Intl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0223;0;0;0;0;0;0;0;0;0;0;0;0;0.0259;0;0;0;0;0;0;0;0;0.1008;0;0;0;0;0;0;0.0323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central Wisconsin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0084;0;0.0077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cherry Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0267;0;0;0;0;0;0.0289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austin Straubel Intll;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0030;0;0;0;0.0053;0;0;0;0;0;0;0;0;0;0;0;0;0.0143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0252;0.0326;0;0;0;0;0;0.024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burlington Intl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0355;0.0365;0;0;0;0;0.0523;0;0;0;0;0;0;0;0;0;0.0452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Outagamie County;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0026;0;0;0;0;0;0;0;0;0;0;0;0;0.0115;0;0;0;0.0129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Roberts Field;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mahlon Sweet Field;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0168;0;0;0;0;0;0;0;0.0202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rapid City Regional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0717;0;0.0551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wittman Regional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rochester Intll;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
